ID,Name,Tags,Faculty,School,CourseOutline,Campus,Career,UoC,EFTSL,ICHPW,Prereq,Excluded,CSSCC,GenEd,Description,,,,Enjoy,Difficult,Skip
COMP3431,Robotic Software Architecture,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3431'>www.cse.unsw.edu.au/~cs3431</a>,Sydney,Undergraduate,6,0.125,6,"COMP2521 or COMP1927, and a WAM of at least 70",COMP9431,2,,,,,,,,,
COMP3511,Human Computer Interaction,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3511'>www.cse.unsw.edu.au/~cs3511</a>,Sydney,Undergraduate,6,0.125,5,Completion of 48 UOC,,2,Yes,,,,,,,,
COMP3601,Design Project A,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3601'>www.cse.unsw.edu.au/~cs3601</a>,Sydney,Undergraduate,6,0.125,5,COMP2121,,2,,,,,,,,,
COMP3821,Extended Algorithms and Programming Techniques,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3821'>www.cse.unsw.edu.au/~cs3821</a>,Sydney,Undergraduate,6,0.125,5,"COMP2521, or a mark of at least 65 in COMP1927, or a mark of at least 75 in COMP1921",COMP3121,2,,,,,,,,,
COMP3891,Extended Operating Systems,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3891'>www.cse.unsw.edu.au/~cs3891</a>,Sydney,Undergraduate,6,0.125,5,"COMP1521 or COMP2121, and COMP2521 or COMP1927, and a WAM of at least 75",,2,,,,,,,,,
COMP3901,Special Project A,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""","<a href=http://www.cse.unsw.edu.au/about-us/help-resources/for-students/student-projects/ugrdprojects/"">http://www.cse.unsw.edu.au/about-us/help-resources/for-students/student-projects/ugrdprojects/</a>""",Sydney,Undergraduate,6,0.125,0,,,2,,,,,,,,,
COMP3902,Special Project B,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""","<a href=http://www.cse.unsw.edu.au/about-us/help-resources/for-students/student-projects/ugrdprojects/"">http://www.cse.unsw.edu.au/about-us/help-resources/for-students/student-projects/ugrdprojects/</a>""",Sydney,Undergraduate,12,0.25,1,,,2,,,,,,,,,
COMP4121,Advanced and Parallel Algorithms,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs4121'>www.cse.unsw.edu.au/~cs4121</a>,Sydney,Undergraduate,6,0.125,4,COMP3121 or COMP3821.,,2,,,,,,,,,
COMP4128,Programming Challenges,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs4128'>http://www.cse.unsw.edu.au/~cs4128</a>,Sydney,Undergraduate,6,0.125,0,,,2,,,,,,,,,
COMP4141,Theory of Computation,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs4141'>www.cse.unsw.edu.au/~cs4141</a>,Sydney,Undergraduate,6,0.125,4,COMP1927 or MATH2301.,,2,,,,,,,,,
COMP4161,Advanced Topics in Software Verification,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs4161'>www.cse.unsw.edu.au/~cs4161</a>,Sydney,Undergraduate,6,0.125,3,Completion of 48 UOC,,2,,,,,,,,,
COMP4181,Language-based Software Safety,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs4181'>www.cse.unsw.edu.au/~cs4181</a>,Sydney,Undergraduate,6,0.125,3,COMP2521 or COMP1927,COMP9181,2,,,,,,,,,
COMP4336,Mobile Data Networking,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs4336'>www.cse.unsw.edu.au/~cs4336</a>,Sydney,Undergraduate,6,0.125,5,COMP3331.,,2,,,,,,,,,
COMP4337,Securing Wireless Networks,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs4337'>www.cse.unsw.edu.au/~cs4337</a>,Sydney,Undergraduate,6,0.125,5,COMP3331.,,2,,,,,,,,,
COMP4418,Knowledge Representation and Reasoning,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs4418'>www.cse.unsw.edu.au/~cs4418</a>,Sydney,Undergraduate,6,0.125,3,COMP3411 or COMP4415,,2,,,,,,,,,
COMP4601,Design Project B,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs4601'>www.cse.unsw.edu.au/~cs4601</a>,Sydney,Undergraduate,6,0.125,5,COMP3211 and COMP3601.,,2,,,,,,,,,
COMP4904,Industrial Training 1,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/undergrad/programs/cscoop.html'>www.cse.unsw.edu.au/undergrad/programs/cscoop.html</a>,Sydney,Undergraduate,18,0.375,0,72uc completed in Computer Science Co-op program.,,2,,,,,,,,,
COMP4905,Industrial Training 2,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/undergrad/programs/cscoop.html'>www.cse.unsw.edu.au/undergrad/programs/cscoop</a>,Sydney,Undergraduate,15,0.3125,0,COMP4904,,2,,,,,,,,,
